tiempo_inicio,tiempo_fin,user_id,tipo_solicitud,texto_solicitud,caracteristicas,demanda_predicha,servidor_asignado
2024-12-21 01:30:59,2024-12-21 01:30:59,user_basico_2,simple,Duda sobre el servicio,"{'longitud': 22, 'tipo': 'simple'}",0,encolada
2024-12-21 01:30:59,2024-12-21 01:30:59,user_intermedio_2,simple,Prueba de API,"{'longitud': 13, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:00,2024-12-21 01:31:00,user_avanzado_3,compleja,Informe de rendimiento personalizado,"{'longitud': 36, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:01,2024-12-21 01:31:01,user_avanzado_2,compleja,Análisis avanzado de datos,"{'longitud': 26, 'tipo': 'compleja'}",0,encolada
2024-12-21 01:31:01,2024-12-21 01:31:02,user_basico_2,simple,Duda sobre el servicio,"{'longitud': 22, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:02,2024-12-21 01:31:03,user_intermedio_2,simple,Informe de uso del último mes,"{'longitud': 29, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:02,2024-12-21 01:31:03,user_avanzado_3,codigo,Ejecución de código Python complejo,"{'longitud': 35, 'tipo': 'codigo'}",0,encolada
2024-12-21 01:31:04,2024-12-21 01:31:05,user_avanzado_2,codigo,Automatización de tareas con scripts,"{'longitud': 36, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:05,2024-12-21 01:31:06,user_intermedio_1,simple,Duda sobre la factura,"{'longitud': 21, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:05,2024-12-21 01:31:06,user_avanzado_1,compleja,Predicciones de mercado,"{'longitud': 23, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:06,2024-12-21 01:31:07,user_basico_1,simple,Duda sobre el servicio,"{'longitud': 22, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:07,2024-12-21 01:31:07,user_avanzado_3,codigo,Depuración de código,"{'longitud': 20, 'tipo': 'codigo'}",0,encolada
2024-12-21 01:31:07,2024-12-21 01:31:08,user_intermedio_1,simple,Análisis de datos de mi cuenta,"{'longitud': 30, 'tipo': 'compleja'}",0,encolada
2024-12-21 01:31:08,2024-12-21 01:31:08,user_avanzado_1,codigo,Depuración de código,"{'longitud': 20, 'tipo': 'codigo'}",0,encolada
2024-12-21 01:31:09,2024-12-21 01:31:09,user_intermedio_2,simple,Ejecución de script simple,"{'longitud': 26, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:10,2024-12-21 01:31:10,user_avanzado_2,compleja,Informe de rendimiento personalizado,"{'longitud': 36, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:10,2024-12-21 01:31:11,user_basico_2,simple,Consulta general,"{'longitud': 16, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:11,2024-12-21 01:31:11,user_intermedio_3,simple,Consulta sobre mi plan,"{'longitud': 22, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:11,2024-12-21 01:31:12,user_avanzado_2,codigo,Automatización de tareas con scripts,"{'longitud': 36, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:13,2024-12-21 01:31:14,user_intermedio_1,simple,Prueba de API,"{'longitud': 13, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:13,2024-12-21 01:31:14,user_avanzado_3,compleja,Optimización de modelo de ML,"{'longitud': 28, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:14,2024-12-21 01:31:15,user_avanzado_3,compleja,Análisis avanzado de datos,"{'longitud': 26, 'tipo': 'compleja'}",0,encolada
2024-12-21 01:31:15,2024-12-21 01:31:15,user_basico_1,simple,Duda sobre el servicio,"{'longitud': 22, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:15,2024-12-21 01:31:15,user_intermedio_3,simple,Cambiar mi suscripción,"{'longitud': 22, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:16,2024-12-21 01:31:16,user_avanzado_2,compleja,Optimización de modelo de ML,"{'longitud': 28, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:17,2024-12-21 01:31:17,user_intermedio_2,simple,Ejecución de script simple,"{'longitud': 26, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:18,2024-12-21 01:31:18,user_avanzado_1,compleja,Optimización de modelo de ML,"{'longitud': 28, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:18,2024-12-21 01:31:19,user_basico_1,simple,Consulta general,"{'longitud': 16, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:18,2024-12-21 01:31:19,user_intermedio_1,simple,Consulta sobre mi plan,"{'longitud': 22, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:19,2024-12-21 01:31:19,user_avanzado_2,compleja,Predicciones de mercado,"{'longitud': 23, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:20,2024-12-21 01:31:20,user_avanzado_3,compleja,Análisis avanzado de datos,"{'longitud': 26, 'tipo': 'compleja'}",0,encolada
2024-12-21 01:31:20,2024-12-21 01:31:21,user_intermedio_2,simple,Informe de uso del último mes,"{'longitud': 29, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:21,2024-12-21 01:31:22,user_avanzado_2,codigo,Depuración de código,"{'longitud': 20, 'tipo': 'codigo'}",0,encolada
2024-12-21 01:31:23,2024-12-21 01:31:23,user_avanzado_2,codigo,Ejecución de código Python complejo,"{'longitud': 35, 'tipo': 'codigo'}",0,encolada
2024-12-21 01:31:23,2024-12-21 01:31:23,user_intermedio_3,simple,Duda sobre la factura,"{'longitud': 21, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:23,2024-12-21 01:31:24,user_basico_3,simple,Consulta general,"{'longitud': 16, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:24,2024-12-21 01:31:24,user_avanzado_2,codigo,Ejecución de código Python complejo,"{'longitud': 35, 'tipo': 'codigo'}",0,encolada
2024-12-21 01:31:25,2024-12-21 01:31:25,user_intermedio_2,simple,Duda sobre la factura,"{'longitud': 21, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:25,2024-12-21 01:31:26,user_avanzado_2,codigo,Ejecución de código Python complejo,"{'longitud': 35, 'tipo': 'codigo'}",0,encolada
2024-12-21 01:31:27,2024-12-21 01:31:27,user_avanzado_3,codigo,Depuración de código,"{'longitud': 20, 'tipo': 'codigo'}",0,encolada
2024-12-21 01:31:27,2024-12-21 01:31:27,user_basico_3,simple,Consulta general,"{'longitud': 16, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:27,2024-12-21 01:31:27,user_intermedio_2,simple,Solicitud de integración con API,"{'longitud': 32, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:28,2024-12-21 01:31:28,user_avanzado_1,compleja,Análisis avanzado de datos,"{'longitud': 26, 'tipo': 'compleja'}",0,encolada
2024-12-21 01:31:29,2024-12-21 01:31:29,user_intermedio_1,simple,Solicitud de integración con API,"{'longitud': 32, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:29,2024-12-21 01:31:29,user_avanzado_3,compleja,Optimización de modelo de ML,"{'longitud': 28, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:30,2024-12-21 01:31:31,user_avanzado_1,compleja,Informe de rendimiento personalizado,"{'longitud': 36, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:31,2024-12-21 01:31:32,user_avanzado_1,compleja,Predicciones de mercado,"{'longitud': 23, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:32,2024-12-21 01:31:32,user_basico_2,simple,Duda sobre el servicio,"{'longitud': 22, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:32,2024-12-21 01:31:32,user_intermedio_3,simple,Cambiar mi suscripción,"{'longitud': 22, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:33,2024-12-21 01:31:34,user_avanzado_2,compleja,Informe de rendimiento personalizado,"{'longitud': 36, 'tipo': 'simple'}",0,encolada
2024-12-21 01:31:34,2024-12-21 01:31:35,user_intermedio_2,simple,Consulta sobre mi plan,"{'longitud': 22, 'tipo': 'simple'}",0,encolada
